STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005/1/1,44,35,53,8.95,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/1/2,36,28,44,9.4,14.1,,,,,,,,,,,,,,,1,,1,,,
USW00014765,2005/1/3,49,44,53,6.93,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2005/1/4,42,39,45,6.93,16.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/1/5,36,28,43,7.83,17,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,2005/1/6,30,25,35,8.72,15,1,,,1,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,2005/1/7,33,28,37,8.72,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,2005/1/8,32,29,34,6.04,17,1,,,1,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/1/9,31,28,34,6.04,15,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/1/10,37,31,43,6.71,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/1/11,34,30,38,5.37,10.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/1/12,33,29,37,7.61,10.1,1,,,,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,2005/1/13,46,33,59,6.49,30,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,2005/1/14,48,33,62,17.9,40,1,,,1,,,,,,,,1,1,,1,,,,,
USW00014765,2005/1/15,29,25,33,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/16,27,23,30,13.42,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/1/17,22,15,29,13.87,25.1,1,,,,,,,,1,,,1,,,,,1,,,
USW00014765,2005/1/18,11,6,15,14.09,23,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/19,16,3,29,3.36,10.1,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,2005/1/20,24,18,29,9.4,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2005/1/21,11,3,18,12.08,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/22,13,-2,27,8.72,23,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,2005/1/23,17,5,28,26.84,45,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,2005/1/24,14,4,23,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/25,21,15,27,8.72,19.9,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/1/26,23,17,29,13.2,25.9,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,2005/1/27,12,6,18,15.43,28,,,,,,,,,,,,,,,,,1,,,
USW00014765,2005/1/28,12,2,22,8.95,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/29,19,2,36,4.25,10.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/30,32,24,39,8.72,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/1/31,24,16,31,11.41,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/1,23,9,36,2.01,6,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/2,25,11,38,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/3,30,23,36,9.62,15,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/2/4,34,31,36,13.2,23,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2005/2/5,41,31,50,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/6,37,29,45,11.18,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2005/2/7,40,28,52,3.58,8.9,,,,,,,,,,,,,,,,,,,,
